Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
ambar palms aravali,"banquet halls, marriage garden / lawns",5.0,15,1800.0,33,100,600,ncr,5
cherish ballrooms at imperial club of india,"banquet halls, marriage garden / lawns",5.0,4,3000.0,20,80,650,ncr,4
moksha himalaya spa resort himachal pradesh,"4 star & above wedding hotels, banquet halls",4.9,6,4500.0,110,70,700,ncr,5
"crowne plaza new delhi okhla, an ihg hotel","4 star & above wedding hotels, banquet halls",5.0,10,3199.0,208,40,600,ncr,5
radiance tania farms,"banquet halls, marriage garden / lawns",4.8,19,2300.0,7,200,1500,ncr,6
hotel surya grand,"banquet halls, 3 star hotels with banquets",4.9,191,1800.0,22,50,600,ncr,6
the leela palace new delhi,"4 star & above wedding hotels, banquet halls",4.7,14,6000.0,254,25,300,ncr,4
"park boulevard hotel, new delhi","4 star & above wedding hotels, banquet halls",5.0,52,4200.0,45,300,1000,ncr,7
"crowne plaza new delhi mayur vihar noida, an ihg hotel","4 star & above wedding hotels, banquet halls",4.6,19,2500.0,160,30,700,ncr,4
tivoli bijwasan,"banquet halls, marriage garden / lawns",5.0,25,3000.0,16,150,1400,ncr,4
hotel jageer palace,"banquet halls, 3 star hotels with banquets",5.0,50,1200.0,100,850,950,ncr,7
grand mantram,"banquet halls, marriage garden / lawns",5.0,18,1850.0,37,150,500,ncr,7
lado rani banquet,"banquet halls, 3 star hotels with banquets",5.0,2,1000.0,35,125,600,ncr,4
mallu farms,"banquet halls, marriage garden / lawns",4.8,55,2500.0,4,200,1500,ncr,7
"fortune park orange, sidhrawali, gurugram - itc's hotel group","4 star & above wedding hotels, banquet halls",5.0,4,2500.0,96,200,1000,ncr,4
noormahal palace,"4 star & above wedding hotels, banquet halls",4.8,53,4000.0,125,25,2000,ncr,6
spara boutique resort,"banquet halls, marriage garden / lawns",4.8,2,4000.0,39,200,1200,ncr,4
calista resort,"banquet halls, marriage garden / lawns",5.0,58,2500.0,65,300,1000,ncr,6
"taj damdama lake resort & spa, gurugram","4 star & above wedding hotels, marriage garden / lawns",4.6,13,5500.0,143,250,1000,ncr,3
the leela ambience convention hotel delhi,"4 star & above wedding hotels, banquet halls",5.0,23,3299.0,480,75,2000,ncr,4
"radisson blu resort, temple bay mamallapuram","4 star & above wedding hotels, banquet halls",5.0,1,2800.0,157,100,2500,chennai,3
ritam,"marriage garden / lawns, 3 star hotels with banquets",5.0,23,1000000.0,13,75,1000,chennai,6
21 century event space,marriage garden / lawns,5.0,5,850.0,2,300,600,chennai,3
aiyavoo mahal,banquet halls,4.9,5,415.0,8,200,700,chennai,4
illam hospitality,"banquet halls, marriage garden / lawns",5.0,8,200000.0,11,200,1500,chennai,4
blue bay beach resort,"banquet halls, marriage garden / lawns",4.6,19,750.0,24,50,700,chennai,4
asirvatham mahal,"banquet halls, kalyana mandapams",4.8,27,80000.0,8,300,500,chennai,8
hyatt regency chennai,"4 star & above wedding hotels, banquet halls",4.9,24,2500.0,325,1800,2000,chennai,3
the royal palms,"banquet halls, marriage garden / lawns",4.8,18,250000.0,4,500,700,chennai,4
sugam resort & convention center,"banquet halls, marriage garden / lawns",5.0,10,650.0,13,30,700,chennai,4
"intercontinental chennai mahabalipuram resort, an ihg hotel","4 star & above wedding hotels, banquet halls",5.0,2,2500.0,100,30,800,chennai,4
the leela palace chennai- seaside luxury,"4 star & above wedding hotels, banquet halls",4.9,6,4200.0,325,30,1200,chennai,3
rajan gardens,"banquet halls, marriage garden / lawns",5.0,5,42000.0,8,90,1800,chennai,5
midnight sun banquet space,"banquet halls, marriage garden / lawns",4.9,5,50000.0,21,50,150,chennai,3
crystal24 banquet hall,banquet halls,5.0,2,777.0,4,500,800,pune,4
nakshatra palace,"banquet halls, marriage garden / lawns",5.0,39,800.0,9,350,1500,pune,6
sky blue banquets & lawn,"banquet halls, marriage garden / lawns",5.0,1,699.0,8,50,800,pune,4
mahalakshmi lawns,"banquet halls, marriage garden / lawns",4.5,2,550.0,45,100,10000,pune,3
"asodit banquets, hadapsar","banquet halls, convention / function halls",4.7,14,699.0,21,350,600,pune,2
nahata lawns,"banquet halls, marriage garden / lawns",4.9,103,400.0,25,50,3000,pune,6
aranyagiri countryside resort,"marriage garden / lawns, 3 star hotels with banquets",4.5,2,550.0,30,80,700,pune,5
mauli agro farm,"banquet halls, marriage garden / lawns",5.0,5,600.0,50,100,4000,pune,4
"muhurta lawns, bavdhan","marriage garden / lawns, venues with rooms",4.7,3,500000.0,6,800,4000,pune,4
the grand legacy resort and spa,"4 star & above wedding hotels, banquet halls",4.8,10,1300.0,70,150,600,pune,4
aisshwarya banquet hall,"banquet halls, marriage garden / lawns",4.9,19,1500.0,6,500,2000,pune,3
hueton greens and resort,"banquet halls, marriage garden / lawns",5.0,2,150000.0,14,500,2000,pune,5
radisson blu pune hinjawadi,"4 star & above wedding hotels, banquet halls",4.8,6,1650.0,152,150,500,pune,4
"kapila resort, wagholi","banquet halls, marriage garden / lawns",4.8,11,600.0,30,80,2000,pune,5
gharkul lawns,"banquet halls, marriage garden / lawns",5.0,2,850.0,6,600,1500,pune,4
regenta central grand exotica pune,"4 star & above wedding hotels, banquet halls",4.5,3,999.0,72,48,350,pune,3
mds banquet & lawns,"banquet halls, marriage garden / lawns",4.9,29,899.0,30,200,2000,pune,5
balkrishna banquets,"banquet halls, convention / function halls",5.0,35,899.0,4,250,700,pune,6
hotel rajratna executive,"banquet halls, party restaurants / lounge bars",4.9,6,499.0,2,250,1000,pune,3
"fort jadhavgadh, pune","4 star & above wedding hotels, banquet halls",5.0,1,2899.0,58,100,900,pune,4
the manor lucknow,"banquet halls, marriage garden / lawns",4.7,24,1650.0,5,160,600,lucknow,4
luxe vitassta,"banquet halls, 3 star hotels with banquets",4.9,14,800.0,9,120,300,lucknow,5
hotel v square restaurant banquet & lawn,"banquet halls, marriage garden / lawns",5.0,4,700.0,50,60,1800,lucknow,4
hotel amanda,"banquet halls, 3 star hotels with banquets",4.8,3,799.0,20,25,300,lucknow,4
magnolia garden,marriage garden / lawns,5.0,9,900.0,21,1800,2500,lucknow,3
hotel rama inn,"banquet halls, 3 star hotels with banquets",5.0,7,699.0,30,150,200,lucknow,3
trident lawn,"marriage garden / lawns, venues with rooms",4.9,63,1000.0,7,900,1500,lucknow,6
