Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
AMBAR PALMS ARAVALI,"Banquet Halls, Marriage Garden / Lawns","Sohna Road, Delhi NCR ",5.0,15 reviews,"₹1,800per plate",100-600,33,+5 more
Cherish Ballrooms at Imperial Club of India,"Banquet Halls, Marriage Garden / Lawns","Vasant Kunj, Delhi NCR ",5.0,4 reviews,"₹3,000per plate",80-650,20,+4 more
Moksha Himalaya Spa Resort Himachal Pradesh,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,4.9,6 reviews,"₹4,500per plate",70-700,110,+5 more
"Crowne Plaza New Delhi Okhla, an IHG Hotel","4 Star & Above Wedding Hotels, Banquet Halls","Okhla, Delhi NCR ",5.0,10 reviews,"₹3,199per plate",40-600,208,+5 more
Radiance Tania Farms,"Banquet Halls, Marriage Garden / Lawns","Chattarpur, Delhi NCR ",4.8,19 reviews,"₹2,300per plate",200-1500,7,+6 more
Hotel Surya Grand,"Banquet Halls, 3 Star Hotels with Banquets","Rajouri Garden, Delhi NCR ",4.9,191 reviews,"₹1,800per plate",50-600,22,+6 more
The Leela Palace New Delhi,"4 Star & Above Wedding Hotels, Banquet Halls","New Delhi, Delhi NCR ",4.7,14 reviews,"₹6,000per plate",25-300,254,+4 more
"Park Boulevard Hotel, New Delhi","4 Star & Above Wedding Hotels, Banquet Halls","Chattarpur, Delhi NCR ",5.0,52 reviews,"₹4,200per plate",300-1000,45,+7 more
"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel","4 Star & Above Wedding Hotels, Banquet Halls","Mayur Vihar, Delhi NCR ",4.6,19 reviews,"₹2,500per plate",30-700,160,+4 more
Tivoli Bijwasan,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,25 reviews,"₹3,000per plate",150-1400,16,+4 more
Hotel Jageer Palace,"Banquet Halls, 3 Star Hotels with Banquets","Mayapuri, Delhi NCR ",5.0,50 reviews,"₹1,200per plate",850-950,100,+7 more
Grand Mantram,"Banquet Halls, Marriage Garden / Lawns","Bandhwari, Delhi NCR ",5.0,18 reviews,"₹1,850per plate",150-500,37,+7 more
Lado Rani Banquet,"Banquet Halls, 3 Star Hotels with Banquets","Patparganj, Delhi NCR ",5.0,2 reviews,"₹1,000per plate",125-600,35,+4 more
Mallu Farms,"Banquet Halls, Marriage Garden / Lawns","Chattarpur, Delhi NCR ",4.8,55 reviews,"₹2,500per plate",200-1500,4,+7 more
"Fortune Park Orange, Sidhrawali, Gurugram - ITC's Hotel Group","4 Star & Above Wedding Hotels, Banquet Halls","Manesar, Delhi NCR ",5.0,4 reviews,"₹2,500per plate",200-1000,96,+4 more
Noormahal Palace,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,4.8,53 reviews,"₹4,000per plate",25-2000,125,+6 more
